name	type	country	administered_by	location	year_est	year_closed	display_year_est	display_year_closed	status	notes	auto_tooltip	lat	lon	size
ConesaPoint		Tourism			2018	2019						-64.52	-62.5	12
KingGeorgeBay		Tourism			2018	2019						-62.6	-58.5	10
SealIslands		Tourism			2018	2019						-60.34	-55.14	10
DeceptionIsland		Tourism			2018	2019						-62.57	-60.38	9
MurrayHarbour		Tourism			2018	2019						-64.21	-61.34	8
BrialmontCove		Tourism			2018	2019						-64.15	-60.58	7
CapeTuxen		Tourism			2018	2019						-65.16	-64.8	7
BrydeIsland		Tourism			2018	2019						-64.52	-63.2	4
LagarrigueCove		Tourism			2018	2019						-64.39	-62.34	4
NekoHarbor		Tourism			2017	2018						-64.5	-62.33	28565
LemaireChannel		Tourism			2017	2018						-65.4	-63.57	27891
CuvervilleIsland		Tourism			2017	2018						-64.41	-62.38	25512
HalfMoonIsland-ChinstrapColony		Tourism			2017	2018						-62.36	-59.55	24290
GoudierIsland		Tourism			2017	2018						-64.5	-63.3	20519
WhalersBay		Tourism			2017	2018						-62.59	-60.34	19733
DancoIsland		Tourism			2017	2018						-64.44	-62.37	19700
WilhelminaBay		Tourism			2017	2018						-64.38	-62.1	15953
PetermannIsland		Tourism			2017	2018						-65.1	-64.1	14590
ParadiseHarbor		Tourism			2017	2018						-64.51	-62.54	14240
DamoyPoint/DorianBay		Tourism			2017	2018						-64.49	-63.32	13532
NeumayerChannel		Tourism			2017	2018						-64.47	-63.3	12830
PortCharcot		Tourism			2017	2018						-65.4	-64	11994
BrownBluff		Tourism			2017	2018						-63.32	-56.55	10683
SkontorpCove		Tourism			2017	2018						-64.54	-62.52	9945
AitchoIslands-BarrientosIsland		Tourism			2017	2018						-62.24	-59.47	9435
MikkelsenHarbor(D'Hainaut)		Tourism			2017	2018						-63.54	-60.47	9220
CiervaCove		Tourism			2017	2018						-64.9	-60.53	8987
JouglaPoint		Tourism			2017	2018						-64.49	-63.3	8887
PortalPoint		Tourism			2017	2018						-64.3	-61.46	8785
OrneHarbor		Tourism			2017	2018						-64.37	-62.32	8717
YankeeHarbor		Tourism			2017	2018						-62.32	-59.47	8698
TelefonBay		Tourism			2017	2018						-62.56	-60.4	8198
PleneauIsland		Tourism			2017	2018						-65.6	-64.4	8047
AntarcticSound		Tourism			2017	2018						-63.2	-56.45	7787
FreiStation		Tourism			2017	2018						-62.12	-58.57	7434
ErreraChannel		Tourism			2017	2018						-64.42	-62.36	6667
WaterboatPoint/GonzalezVidelaStation		Tourism			2017	2018						-64.49	-62.51	6099
VernadskyStation		Tourism			2017	2018						-65.14	-64.15	5677
ElephantPoint		Tourism			2017	2018						-62.41	-60.52	5589
PointWild		Tourism			2017	2018						-61.6	-54.52	5489
GerlacheStrait		Tourism			2017	2018						-64.3	-62.2	4864
SchollaertChannel		Tourism			2017	2018						-64.18	-62.3	4557
PauletIsland		Tourism			2017	2018						-63.35	-55.47	4512
PalmerStation		Tourism			2017	2018						-64.46	-64.5	4412
EnterpriseIsland		Tourism			2017	2018						-64.32	-62	4260
DeceptionIsland		Tourism			2017	2018						-62.57	-60.38	4142
DallmannBay		Tourism			2017	2018						-64.2	-62.55	3963
DetailleIsland		Tourism			2017	2018						-66.52	-66.48	3731
NeptunesBellows		Tourism			2017	2018						-63	-60.34	3137
FoynHarbor		Tourism			2017	2018						-64.33	-62.1	2671
CrystalSound		Tourism			2017	2018						-66.23	-66.3	2596
BellingshausenStation		Tourism			2017	2018						-62.11	-58.57	2585
ArctowskiStation		Tourism			2017	2018						-62.9	-58.28	2531
MelchiorIslands		Tourism			2017	2018						-64.19	-62.57	2500
HydrurgaRocks		Tourism			2017	2018						-64.8	-61.37	2474
KinnesCove/MadderCliffs		Tourism			2017	2018						-63.18	-56.27	2423
UsefulIsland		Tourism			2017	2018						-64.43	-62.52	2273
StoningtonIsland		Tourism			2017	2018						-68.11	-67	2088
RobertPoint		Tourism			2017	2018						-62.28	-59.23	2078
BransfieldStrait		Tourism			2017	2018						-63	-59	2064
PenguinIsland		Tourism			2017	2018						-62.6	-57.54	2018
YalourIslands		Tourism			2017	2018						-65.14	-64.1	1913
FishIslands		Tourism			2017	2018						-66.2	-65.25	1885
RongeIsland/GeorgesPoint		Tourism			2017	2018						-64.43	-62.41	1829
RongeIsland/KerrPoint		Tourism			2017	2018						-64.42	-62.37	1829
RongeIslandKetleyPoint		Tourism			2017	2018						-64.42	-62.46	1829
BailyHead		Tourism			2017	2018						-62.58	-60.29	1825
CapeLookout		Tourism			2017	2018						-61.16	-55.12	1789
CharlotteBay		Tourism			2017	2018						-64.33	-61.39	1682
FortPoint		Tourism			2017	2018						-62.34	-59.34	1655
GrahamPassage		Tourism			2017	2018						-64.24	-61.31	1598
RedRockRidge		Tourism			2017	2018						-68.18	-67.8	1589
PendulumCove		Tourism			2017	2018						-62.56	-60.36	1533
GourdinIsland		Tourism			2017	2018						-63.12	-57.18	1502
FournierBay		Tourism			2017	2018						-64.31	-63.6	1490
HanusseBay		Tourism			2017	2018						-66.57	-67.3	1444
HannahPoint		Tourism			2017	2018						-62.39	-60.37	1443
SpertIsland		Tourism			2017	2018						-63.51	-60.57	1437
ErebusandTerrorGulf		Tourism			2017	2018						-63.55	-56.4	1415
BellingshausenSea		Tourism			2017	2018						-71	-85	1373
OrcadasStation		Tourism			2017	2018						-60.44	-44.44	1371
PortFoster		Tourism			2017	2018						-62.57	-60.39	1316
TurretPoint		Tourism			2017	2018						-62.5	-57.55	1297
StonyPoint		Tourism			2017	2018						-64.54	-62.55	1264
AstrolabeIsland		Tourism			2017	2018						-63.17	-58.4	1251
LeithCove		Tourism			2017	2018						-64.52	-62.5	1231
LallemandFjord		Tourism			2017	2018						-67.5	-66.45	1030
AndvordBay		Tourism			2017	2018						-64.5	-62.39	986
HiddenBay		Tourism			2017	2018						-65.2	-63.46	961
HopeBay		Tourism			2017	2018						-63.23	-57	956
AdmiraltyBay		Tourism			2017	2018						-62.1	-58.25	857
HughesBay		Tourism			2017	2018						-128.27	-122.33	810
WalkerBay(byHannahPoint)		Tourism			2017	2018						-62.38	-60.42	730
FridtjofSound		Tourism			2017	2018						-63.34	-56.43	727
DevilIsland		Tourism			2017	2018						-63.48	-57.17	717
PeltierChannel		Tourism			2017	2018						-64.52	-63.32	692
ArgentineIslandsOther		Tourism			2017	2018						-65.15	-64.16	690
HorseshoeIsland		Tourism			2017	2018						-67.51	-67.12	678
OrneIslands		Tourism			2017	2018						-64.4	-62.4	663
ButlerPassage		Tourism			2017	2018						-64.58	-63.44	662
HovgaardIsland		Tourism			2017	2018						-65.8	-64.8	660
ProspectPoint		Tourism			2017	2018						-66.1	-65.21	656
PenolaStrait		Tourism			2017	2018						-65.1	-64.7	654
AguirrePassage		Tourism			2017	2018						-64.29	-62.3	644
MaxwellBay,KingGeorgeIsland		Tourism			2017	2018						-62.15	-58.51	612
FergusonChannel		Tourism			2017	2018						-64.54	-62.59	495
LionSound		Tourism			2017	2018						-64.4	-63.9	483
EnglishStrait		Tourism			2017	2018						-62.27	-59.38	454
LivingstonIsland		Tourism			2017	2018						-62.36	-60.3	437
DangerIslands		Tourism			2017	2018						-63.25	-54.4	398
ArdleyIsland		Tourism			2017	2018						-62.13	-58.56	391
CurtissBay		Tourism			2017	2018						-64.2	-60.47	388
PlataPassage		Tourism			2017	2018						-64.4	-62.1	373
BongrainPoint		Tourism			2017	2018						-67.43	-67.48	371
JennyIsland		Tourism			2017	2018						-67.44	-68.24	343
TheGullet		Tourism			2017	2018						-67.1	-67.38	334
LemaireIsland		Tourism			2017	2018						-64.49	-62.57	305
BerthelotIslands		Tourism			2017	2018						-65.2	-64.9	293
LindbladCove		Tourism			2017	2018						-63.51	-59.27	292
NansenIsland		Tourism			2017	2018						-64.35	-62.6	278
WinterIsland		Tourism			2017	2018						-65.15	-64.16	267
SanMartinStation		Tourism			2017	2018						-68.7	-67.6	260
SnowIsland		Tourism			2017	2018						-62.47	-61.23	240
BallenyIslands		Tourism			2017	2018						-66.55	163.2	235
GibbsIsland		Tourism			2017	2018						-61.28	-55.34	232
PrinceGustavChannel		Tourism			2017	2018						-63.5	-58.15	224
SandefjordBay		Tourism			2017	2018						-60.37	-46.3	213
LagoonIsland		Tourism			2017	2018						-67.35	-68.16	202
CoronationIsland		Tourism			2017	2018						-60.37	-45.35	200
PourquoiPasIsland		Tourism			2017	2018						-67.41	-67.28	190
CollinsBay		Tourism			2017	2018						-65.21	-64.4	186
GrandidierChannel		Tourism			2017	2018						-65.35	-64.45	181
MargueriteBay		Tourism			2017	2018						-68.3	-68.3	176
CapeValentine		Tourism			2017	2018						-61.6	-54.39	174
AdmiraltySound		Tourism			2017	2018						-64.2	-57.1	166
SouthOrkneyIslands		Tourism			2017	2018						-60.35	-45.3	150
GalindezIsland		Tourism			2017	2018						-65.15	-64.15	145
McMurdoSound		Tourism			2017	2018						-77.31	165.1	142
HerbertSound		Tourism			2017	2018						-63.55	-57.4	140
RossIceShelf		Tourism			2017	2018						-81.3	-175	140
BoydStrait		Tourism			2017	2018						-62.5	-62	139
CockburnIsland		Tourism			2017	2018						-64.12	-56.51	139
McFarlaneStrait		Tourism			2017	2018						-62.32	-59.55	139
VortexIsland		Tourism			2017	2018						-63.44	-57.38	135
BismarckStrait		Tourism			2017	2018						-64.51	-64	134
CapeHerschel		Tourism			2017	2018						-64.4	-61.2	121
FildesPeninsula		Tourism			2017	2018						-62.12	-58.58	121
ShingleCove		Tourism			2017	2018						-60.39	-45.34	118
DoumerIsland		Tourism			2017	2018						-64.51	-63.35	114
LaurieIsland		Tourism			2017	2018						-60.44	-44.37	108
WeddellSea		Tourism			2017	2018						-72	-45	102
D'UrvilleMonument		Tourism			2017	2018						-63.25	-56.18	101
ChiriguanoBay		Tourism			2017	2018						-64.28	-62.31	95
SnowHillIsland-EmperorPenguinColony		Tourism			2017	2018						-64.3	-57.26	95
SnowHillIsland-IceEdgeLanding		Tourism			2017	2018						-64.28	-57.1	95
SnowHillIsland-Nordenskjold'sHut		Tourism			2017	2018						-64.28	-57.12	95
CapeBird		Tourism			2017	2018						-77.9	166.42	94
CapeEvans		Tourism			2017	2018						-77.38	166.24	94
CapeRoyds		Tourism			2017	2018						-77.32	-166.8	93
CapeAdare		Tourism			2017	2018						-71.17	170.14	91
JabetPeak		Tourism			2017	2018						-64.49	-63.28	89
DiscoveryBay		Tourism			2017	2018						-62.29	-59.43	88
RotheraStation		Tourism			2017	2018						-67.34	-68.7	86
BulsBay		Tourism			2017	2018						-64.23	-62.19	84
BancroftBay		Tourism			2017	2018						-64.34	-61.52	82
EdinburghHill		Tourism			2017	2018						-62.33	-60.1	81
FrenchPassage		Tourism			2017	2018						-65.1	-64.2	68
HoldfastPoint		Tourism			2017	2018						-66.28	-66.21	51
PalaverPoint		Tourism			2017	2018						-64.9	-61.45	50
TwoHummockIsland		Tourism			2017	2018						-64.8	-61.42	47
SpigotPeak		Tourism			2017	2018						-64.38	-62.34	45
FranklinIsland		Tourism			2017	2018						-76.5	168.19	36
SkottsbergPoint		Tourism			2017	2018						-63.55	-60.49	31
TrinityIsland		Tourism			2017	2018						-54	-38.1	26
PotterCove		Tourism			2017	2018						-62.14	-58.42	19
DuthiersPoint		Tourism			2017	2018						-64.48	-62.49	17
AndresenIsland		Tourism			2017	2018						-66.53	-66.4	16
ConesaPoint		Tourism			2017	2018						-64.52	-62.5	15
KingGeorgeBay		Tourism			2017	2018						-62.6	-58.5	11
GuepratteIsland		Tourism			2017	2018						-64.3	-63	8
CapeTuxen		Tourism			2017	2018						-65.16	-64.8	7
SalvesenCove		Tourism			2017	2018						-64.24	-61.2	7
MartelInlet		Tourism			2017	2018						-62.5	-58.22	4
CuvervilleIsland		Tourism			2016	2017						-64.41	-62.38	36527
LemaireChannel		Tourism			2016	2017						-65.4	-63.57	33970
WhalersBay		Tourism			2016	2017						-62.59	-60.34	27826
NekoHarbor		Tourism			2016	2017						-64.5	-62.33	27448
NeumayerChannel		Tourism			2016	2017						-64.47	-63.3	25968
GoudierIsland		Tourism			2016	2017						-64.5	-63.3	21550
WilhelminaBay		Tourism			2016	2017						-64.38	-62.1	20330
GerlacheStrait		Tourism			2016	2017						-64.3	-62.2	19619
ParadiseHarbor		Tourism			2016	2017						-64.51	-62.54	17094
BrownBluff		Tourism			2016	2017						-63.32	-56.55	16258
DancoIsland		Tourism			2016	2017						-64.44	-62.37	14768
ErreraChannel		Tourism			2016	2017						-64.42	-62.36	14597
MikkelsenHarbor(D'Hainaut)		Tourism			2016	2017						-63.54	-60.47	13402
AntarcticSound		Tourism			2016	2017						-63.2	-56.45	12621
DamoyPoint/DorianBay		Tourism			2016	2017						-64.49	-63.32	10594
CiervaCove		Tourism			2016	2017						-64.9	-60.53	10457
DallmannBay		Tourism			2016	2017						-64.2	-62.55	10445
PetermannIsland		Tourism			2016	2017						-65.1	-64.1	10036
JouglaPoint		Tourism			2016	2017						-64.49	-63.3	9265
BransfieldStrait		Tourism			2016	2017						-63	-59	8848
OrneHarbor		Tourism			2016	2017						-64.37	-62.32	8392
TelefonBay		Tourism			2016	2017						-62.56	-60.4	8293
WaterboatPoint/GonzalezVidelaStation		Tourism			2016	2017						-64.49	-62.51	8278
AdmiraltyBay		Tourism			2016	2017						-62.1	-58.25	7990
AitchoIslands-BarrientosIsland		Tourism			2016	2017						-62.24	-59.47	7974
PointWild		Tourism			2016	2017						-61.6	-54.52	7701
DeceptionIsland		Tourism			2016	2017						-62.57	-60.38	7666
SchollaertChannel		Tourism			2016	2017						-64.18	-62.3	7197
AndvordBay		Tourism			2016	2017						-64.5	-62.39	7040
PortalPoint		Tourism			2016	2017						-64.3	-61.46	6665
SkontorpCove		Tourism			2016	2017						-64.54	-62.52	6484
YankeeHarbor		Tourism			2016	2017						-62.32	-59.47	6456
VernadskyStation		Tourism			2016	2017						-65.14	-64.15	6430
BismarckStrait		Tourism			2016	2017						-64.51	-64	6267
ElephantIsland		Tourism			2016	2017						-61.1	-55.14	5636
PleneauIsland		Tourism			2016	2017						-65.6	-64.4	5167
MelchiorIslands		Tourism			2016	2017						-64.19	-62.57	4868
GourdinIsland		Tourism			2016	2017						-63.12	-57.18	4656
PortCharcot		Tourism			2016	2017						-65.4	-64	4642
DetailleIsland		Tourism			2016	2017						-66.52	-66.48	4161
EnterpriseIsland		Tourism			2016	2017						-64.32	-62	4124
FreiStation		Tourism			2016	2017						-62.12	-58.57	3894
PauletIsland		Tourism			2016	2017						-63.35	-55.47	3725
HopeBay		Tourism			2016	2017						-63.23	-57	3650
HannahPoint		Tourism			2016	2017						-62.39	-60.37	3419
RobertPoint		Tourism			2016	2017						-62.28	-59.23	2998
SpertIsland		Tourism			2016	2017						-63.51	-60.57	2887
ElephantPoint		Tourism			2016	2017						-62.41	-60.52	2796
HydrurgaRocks		Tourism			2016	2017						-64.8	-61.37	2722
FoynHarbor		Tourism			2016	2017						-64.33	-62.1	2631
AguirrePassage		Tourism			2016	2017						-64.29	-62.3	2546
FrenchPassage		Tourism			2016	2017						-65.1	-64.2	2543
BailyHead		Tourism			2016	2017						-62.58	-60.29	2470
UsefulIsland		Tourism			2016	2017						-64.43	-62.52	2445
ButlerPassage		Tourism			2016	2017						-64.58	-63.44	2412
WalkerBay(byHannahPoint)		Tourism			2016	2017						-62.38	-60.42	2352
KinnesCove/MadderCliffs		Tourism			2016	2017						-63.18	-56.27	2257
NeptunesBellows		Tourism			2016	2017						-63	-60.34	2179
PeltierChannel		Tourism			2016	2017						-64.52	-63.32	2149
RongeIsland/GeorgesPoint		Tourism			2016	2017						-64.43	-62.41	2102
RongeIsland/KerrPoint		Tourism			2016	2017						-64.42	-62.37	2102
RongeIslandKetleyPoint		Tourism			2016	2017						-64.42	-62.46	2102
CrystalSound		Tourism			2016	2017						-66.23	-66.3	2100
McFarlaneStrait		Tourism			2016	2017						-62.32	-59.55	2091
PenguinIsland		Tourism			2016	2017						-62.6	-57.54	1953
BorgenBay		Tourism			2016	2017						-64.45	-63.3	1951
MartelInlet		Tourism			2016	2017						-62.5	-58.22	1951
LeithCove		Tourism			2016	2017						-64.52	-62.5	1844
FortPoint		Tourism			2016	2017						-62.34	-59.34	1681
HanusseBay		Tourism			2016	2017						-66.57	-67.3	1669
YalourIslands		Tourism			2016	2017						-65.14	-64.1	1551
CapeLookout		Tourism			2016	2017						-61.16	-55.12	1507
GrahamPassage		Tourism			2016	2017						-64.24	-61.31	1506
HorseshoeIsland		Tourism			2016	2017						-67.51	-67.12	1472
PendulumCove		Tourism			2016	2017						-62.56	-60.36	1436
AstrolabeIsland		Tourism			2016	2017						-63.17	-58.4	1259
ArctowskiStation		Tourism			2016	2017						-62.9	-58.28	1249
LallemandFjord		Tourism			2016	2017						-67.5	-66.45	1219
OrneIslands		Tourism			2016	2017						-64.4	-62.4	1194
TheGullet		Tourism			2016	2017						-67.1	-67.38	1153
ErebusandTerrorGulf		Tourism			2016	2017						-63.55	-56.4	1086
StonyPoint		Tourism			2016	2017						-64.54	-62.55	1067
FournierBay		Tourism			2016	2017						-64.31	-63.6	1050
WinterIsland		Tourism			2016	2017						-65.15	-64.16	1024
DevilIsland		Tourism			2016	2017						-63.48	-57.17	965
BongrainPoint		Tourism			2016	2017						-67.43	-67.48	949
MargueriteBay		Tourism			2016	2017						-68.3	-68.3	939
CapeAdare		Tourism			2016	2017						-71.17	170.14	880
FranklinIsland		Tourism			2016	2017						-76.5	168.19	849
PenolaStrait		Tourism			2016	2017						-65.1	-64.7	813
ShingleCove		Tourism			2016	2017						-60.39	-45.34	709
BayofWhales		Tourism			2016	2017						-78.3	-164.2	684
FridtjofSound		Tourism			2016	2017						-63.34	-56.43	672
PortFoster		Tourism			2016	2017						-62.57	-60.39	597
RossIceShelf		Tourism			2016	2017						-81.3	-175	594
LivingstonIsland		Tourism			2016	2017						-62.36	-60.3	552
HiddenBay		Tourism			2016	2017						-65.2	-63.46	512
StoningtonIsland		Tourism			2016	2017						-68.11	-67	486
RedRockRidge		Tourism			2016	2017						-68.18	-67.8	478
CapeHallett		Tourism			2016	2017						-72.19	170.16	465
CapeEvans		Tourism			2016	2017						-77.38	166.24	461
AdmiraltySound		Tourism			2016	2017						-64.2	-57.1	457
JennyIsland		Tourism			2016	2017						-67.44	-68.24	426
FergusonChannel		Tourism			2016	2017						-64.54	-62.59	425
FishIslands		Tourism			2016	2017						-66.2	-65.25	420
D'UrvilleMonument		Tourism			2016	2017						-63.25	-56.18	388
GrandidierChannel		Tourism			2016	2017						-65.35	-64.45	383
SnowHillIsland-EmperorPenguinColony		Tourism			2016	2017						-64.3	-57.26	383
SnowHillIsland-IceEdgeLanding		Tourism			2016	2017						-64.28	-57.1	383
SnowHillIsland-Nordenskjold'sHut		Tourism			2016	2017						-64.28	-57.12	383
WeddellSea		Tourism			2016	2017						-72	-45	372
TurretPoint		Tourism			2016	2017						-62.5	-57.55	369
TerraFirmaIslands		Tourism			2016	2017						-68.42	-67.32	362
CharlotteBay		Tourism			2016	2017						-64.33	-61.39	356
ProspectPoint		Tourism			2016	2017						-66.1	-65.21	354
HovgaardIsland		Tourism			2016	2017						-65.8	-64.8	328
CurtissBay		Tourism			2016	2017						-64.2	-60.47	327
ActiveSound		Tourism			2016	2017						-63.25	-56.1	321
ArdleyIsland		Tourism			2016	2017						-62.13	-58.56	314
MaxwellBay,KingGeorgeIsland		Tourism			2016	2017						-62.15	-58.51	265
BallenyIslands		Tourism			2016	2017						-66.55	163.2	243
HeroinaIsland		Tourism			2016	2017						-63.24	-54.36	228
PlataPassage		Tourism			2016	2017						-64.4	-62.1	220
PossessionIsland		Tourism			2016	2017						-71.52	-171.12	192
SouthOrkneyIslands		Tourism			2016	2017						-60.35	-45.3	186
NansenIsland		Tourism			2016	2017						-64.35	-62.6	183
ArgentineIslandsOther		Tourism			2016	2017						-65.15	-64.16	181
LionSound		Tourism			2016	2017						-64.4	-63.9	178
JamesRossIsland		Tourism			2016	2017						-64.1	-57.45	160
CapeRoyds		Tourism			2016	2017						-77.32	-166.8	155
LindbladCove		Tourism			2016	2017						-63.51	-59.27	125
PeterIIsland		Tourism			2016	2017						-68.47	-90.35	123
CapeColbeck		Tourism			2016	2017						-77.7	-158.1	122
CoulmanIsland		Tourism			2016	2017						-73.28	169.45	121
DuseBay		Tourism			2016	2017						-63.32	-57.15	106
TaylorValley/CanadaGlacier		Tourism			2016	2017						-77.39	162.56	105
CoronationIsland		Tourism			2016	2017						-60.37	-45.35	103
TheNaze		Tourism			2016	2017						-63.57	-57.32	99
RossSea		Tourism			2016	2017						-75	-175	90
HughesBay		Tourism			2016	2017						-128.27	-122.33	80
CollinsBay		Tourism			2016	2017						-65.21	-64.4	59
EdinburghHill		Tourism			2016	2017						-62.33	-60.1	59
McMurdoSound		Tourism			2016	2017						-77.31	165.1	57
SnowIsland		Tourism			2016	2017						-62.47	-61.23	44
SpigotPeak		Tourism			2016	2017						-64.38	-62.34	43
PotterCove		Tourism			2016	2017						-62.14	-58.42	41
RecessCove		Tourism			2016	2017						-64.3	-61.32	39
DoumerIsland		Tourism			2016	2017						-64.51	-63.35	30
SouthShetlandIslands		Tourism			2016	2017						-62	-58	28
FildesPeninsula		Tourism			2016	2017						-62.12	-58.58	18
TrinityIsland		Tourism			2016	2017						-54	-38.1	14
GalindezIsland		Tourism			2016	2017						-65.15	-64.15	13
NelsonIsland		Tourism			2016	2017						-62.18	-59.3	12
